"Property ID",Title,"Bedroom Status","Bedroom Value","Bathroom Status","Bathroom Value","Category ID"
66,"Spacious Semi Furnished 3-Bedroom Apartment for Sale, Intercontinental area, Hurghada","Can Extract",3,Missing,,1
79,"Spacious Two-Bedroom Apartment for Sale, Intercontinental area, Hurghada","Can Extract",2,Missing,,1
80,"Discover Your Dream One-Bedroom Apartment in Golden House, El Kawther, Hurghada!","Can Extract",1,Missing,,1
81,"Live In Two-Bedroom Apartment at Golden House, El Kawther, Hurghada!","Can Extract",2,Missing,,1
84,"Amazing Sea View Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Can Extract",0,Missing,,1
85,"Wonderful Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Can Extract",0,Missing,,1
86,"Fantastic Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Can Extract",0,Missing,,1
87,"Own Your Hotel Studio at Panorama Hills, El Hadaba Road, Hurghada","Can Extract",0,Missing,,1
88,"Amazing View Hotel Studio at Panorama Hills, El Hadaba Road, Hurghada","Can Extract",0,Missing,,1
89,"Amazing Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Can Extract",1,Missing,,1
90,"Wonderful Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Can Extract",1,Missing,,1
91,"Wonderful Sea View Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Can Extract",1,Missing,,1
92,"Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Can Extract",2,Missing,,1
93,"Fantastic Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Can Extract",2,Missing,,1
94,"Spacious Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Can Extract",2,Missing,,1
95,"Amazing One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Can Extract",1,Missing,,1
96,"Fantastic One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Can Extract",1,Missing,,1
97,"One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Can Extract",1,Missing,,1
99,"Two-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Can Extract",2,Missing,,1
102,"Prime Commercial Space for Sale in the Intercontinental Area of Hurghada",Missing,,Missing,,28
128,"Amazing Studio in 3 Pyramids, El Ahyaa, Hurghada","Can Extract",0,Missing,,1
130,"Wonderful One-Bedroom Apartment in 3 Pyramids, El Ahyaa, Hurghada","Can Extract",1,Missing,,1
132,"Amazing Two-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Can Extract",2,Missing,,1
133,"Three-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Can Extract",3,Missing,,1
134,"Spacious Three-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Can Extract",3,Missing,,1
136,"Fantastic One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",1,Missing,,1
137,"One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",1,Missing,,1
138,"Wonderful One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",1,Missing,,1
139,"Amazing Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",2,Missing,,1
140,"Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",2,Missing,,1
141,"Spacious Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",2,Missing,,1
142,"Spacious Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",3,Missing,,1
143,"Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",3,Missing,,1
144,"Fantastic Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Can Extract",3,Missing,,1
145,"Unique Duplex Apartment in Grand Gate, near Hurghada Airport, Hurghada",Missing,,Missing,,41
146,"Fantastic Studio in La Bella Palace, El Kawther, Hurghada!","Can Extract",0,Missing,,1
147,"Spacious Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Can Extract",3,Missing,,1
148,"Wonderful Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Can Extract",3,Missing,,1
149,"Unique Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Can Extract",3,Missing,,1
150,"Amazing Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Can Extract",0,Missing,,1
151,"Wonderful Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Can Extract",0,Missing,,1
152,"Fantastic Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Can Extract",0,Missing,,1
153,"Amazing Sea View Hotel One-Bedroom Apartment in Belkan, Al Ahyaa,Hurghada","Can Extract",1,Missing,,1
154,"Unique Sea View Hotel One-Bedroom Apartment in Belkan, Al Ahyaa,Hurghada","Can Extract",1,Missing,,1
155,"Amazing Hotel Sea View Studio in Bella Bay Beach Resort, Hurghada","Can Extract",0,Missing,,1
156,"Amazing Studio in La Vista Magawish, Magawish,Hurghada","Can Extract",0,Missing,,1
157,"Wonderful Studio in La Vista Magawish, Magawish,Hurghada","Can Extract",0,Missing,,1
158,"Amazing One-Bedrrom Apartment in La Vista Magawish, Magawish,Hurghada",Missing,,Missing,,1
159,"Amazing One-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada",Missing,,Missing,,1
160,"One-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada",Missing,,Missing,,1
161,"Spacious Two-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada",Missing,,Missing,,1
163,"Amazing Swimming Pool View Two-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",2,Missing,,1
165,"Spacious Three-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",3,Missing,,1
166,"Amazing Two-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",2,Missing,,1
167,"Fantastic Two-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",2,Missing,,1
168,"With Lowest Price Studio in the Intercontinental District, Hurghada","Can Extract",0,Missing,,1
169,"Wonderful One-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",1,Missing,,1
170,"Wonderful Two-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",2,Missing,,1
171,"Own Prime Two-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",2,Missing,,1
172,"Luxury Three-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",3,Missing,,1
173,"With Lowest Price Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
174,"Wonderful Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
175,"Wonderful Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
176,"Own Prime Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
177,"Amazing Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
178,"Wonderful Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
179,"With Lowest Price Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
180,"Wonderful Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
181,"Wonderful Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
182,"Wonderful Commercial Shop in the Intercontinental District, Hurghada",Missing,,Missing,,28
185,"Luxury Three-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",3,Missing,,1
207,"Amazing Land For Building in the Derwah, Ashmoun, Menofia Governorate",Missing,,Missing,,57
285,"Amazing Land For Building in the Aziza, Ratib - Toukh in front of the Private University",Missing,,Missing,,34
292,"Amazing 03-Star Hotel in the Hadaba Om El Sid - Sharm El Sheikh for Sale",Missing,,Missing,,59
311,"Amazing Four-Bedroom  Apartment in the Marville  New Zayed- Al Marasem,Giza Governorate","Can Extract",4,Missing,,1
313,"Two-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",2,Missing,,1
314,testing,Missing,,Missing,,3
315,"Luxury 75 Sqm 1-Bedroom Apartment with Terrace in ONE7 Residence – Installments up to 6 Years","Can Extract",1,Missing,,1
316,"Luxury 75 Sqm Penthouse with 48 Sqm Private Roof in ONE7 Residence – Installments up to 6 Years",Missing,,Missing,,1
317,"Luxury 85 Sqm Ground Floor Apartment with Private Garden in ONE7 Residence – Installments up to 6 Years",Missing,,Missing,,1
318,"Spacious 85 Sqm ""American-Style"" 1-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Can Extract",1,Missing,,1
319,"80 Sqm Top-Floor ""American-Style"" Apartment in ONE7 Residence – Installments up to 6 Years",Missing,,Missing,,1
320,"Luxury 2-Bedroom Ground Floor Apartment with Huge 60 Sqm Garden & Pool Access in ONE7 Residence","Can Extract",2,Missing,,1
321,"Spacious 118 Sqm 2-Bedroom Apartment with Terrace in ONE7 Residence – Installments up to 6 Years","Can Extract",2,Missing,,1
322,"Luxury 120 Sqm 2-Bedroom Penthouse with Private Roof (36 Sqm) in ONE7 Residence – Installments up to 6 Years","Can Extract",2,Missing,,1
323,"Luxury 166 Sqm 3-Bedroom Penthouse with Private Roof (48 Sqm) in ONE7 Residence – Installments up to 6 Years","Can Extract",3,Missing,,1
324,"Luxury 134 Sqm 3-Bedroom Ground Floor Apartment with Private Pool & Garden in ONE7 Residence","Can Extract",3,Missing,,1
325,"Premium 140 Sqm 3-Bedroom Ground Floor Apartment with Private Pool & 72 Sqm Garden in ONE7 Residence","Can Extract",3,Missing,,1
326,"Spacious 148 Sqm 3-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Can Extract",3,Missing,,1
327,"Spacious 160 Sqm 3-Bedroom First Floor Apartment with Large 20 Sqm Terrace in ONE7 Residence","Can Extract",3,Missing,,1
328,"Spacious 152 Sqm 3-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Can Extract",3,Missing,,1
329,"Luxury 150 Sqm 3-Bedroom Penthouse with Private Roof (52 Sqm) in ONE7 Residence – Installments up to 6 Years","Can Extract",3,Missing,,1
330,"Spacious 160 Sqm 3-Bedroom Penthouse with Private Roof (48 Sqm) in ONE7 Residence – Installments up to 6 Years","Can Extract",3,Missing,,1
331,"test apartment",Missing,,Missing,,1
332,"Test 01-19-125",Missing,,Missing,,1
335,"Fantastic 02-Bedroom Apartment in Dream Hotel 1","Can Extract",2,Missing,,3
336,"Test 03 20 Dec-25 Amazing Two-Bedroom Apartment in the Intercontinental District, Hurghada","Can Extract",2,Missing,,1
337,"test price on request",Missing,,Missing,,62
338,"Test 4 20 Dec-25 Amazing 03 Star Hotel in the Hadaba Om El Sid - Sharm El Sheikh for Sales",Missing,,Missing,,62
340,"Test 6 20 Dec-2025 Nice Villa for Sale",Missing,,Missing,,2
