"Property ID",Title,"Issue Type",Field,Value,"Category ID"
66,"Spacious Semi Furnished 3-Bedroom Apartment for Sale, Intercontinental area, Hurghada","Missing Parameter",Bedroom,,1
79,"Spacious Two-Bedroom Apartment for Sale, Intercontinental area, Hurghada","Missing Parameter",Bedroom,,1
80,"Discover Your Dream One-Bedroom Apartment in Golden House, El Kawther, Hurghada!","Missing Parameter",Bedroom,,1
81,"Live In Two-Bedroom Apartment at Golden House, El Kawther, Hurghada!","Missing Parameter",Bedroom,,1
84,"Amazing Sea View Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
85,"Wonderful Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
86,"Fantastic Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
87,"Own Your Hotel Studio at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
88,"Amazing View Hotel Studio at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
89,"Amazing Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
90,"Wonderful Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
91,"Wonderful Sea View Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
92,"Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
93,"Fantastic Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
94,"Spacious Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bedroom,,1
95,"Amazing One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Missing Parameter",Bedroom,,1
96,"Fantastic One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Missing Parameter",Bedroom,,1
97,"One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Missing Parameter",Bedroom,,1
99,"Two-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Missing Parameter",Bedroom,,1
102,"Prime Commercial Space for Sale in the Intercontinental Area of Hurghada","Missing Parameter",Bedroom,,28
128,"Amazing Studio in 3 Pyramids, El Ahyaa, Hurghada","Missing Parameter",Bedroom,,1
130,"Wonderful One-Bedroom Apartment in 3 Pyramids, El Ahyaa, Hurghada","Missing Parameter",Bedroom,,1
132,"Amazing Two-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Missing Parameter",Bedroom,,1
133,"Three-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Missing Parameter",Bedroom,,1
134,"Spacious Three-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Missing Parameter",Bedroom,,1
136,"Fantastic One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
137,"One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
138,"Wonderful One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
139,"Amazing Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
140,"Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
141,"Spacious Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
142,"Spacious Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
143,"Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
144,"Fantastic Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,1
145,"Unique Duplex Apartment in Grand Gate, near Hurghada Airport, Hurghada","Missing Parameter",Bedroom,,41
146,"Fantastic Studio in La Bella Palace, El Kawther, Hurghada!","Missing Parameter",Bedroom,,1
147,"Spacious Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Missing Parameter",Bedroom,,1
148,"Wonderful Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Missing Parameter",Bedroom,,1
149,"Unique Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Missing Parameter",Bedroom,,1
150,"Amazing Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bedroom,,1
151,"Wonderful Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bedroom,,1
152,"Fantastic Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bedroom,,1
153,"Amazing Sea View Hotel One-Bedroom Apartment in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bedroom,,1
154,"Unique Sea View Hotel One-Bedroom Apartment in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bedroom,,1
155,"Amazing Hotel Sea View Studio in Bella Bay Beach Resort, Hurghada","Missing Parameter",Bedroom,,1
156,"Amazing Studio in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bedroom,,1
157,"Wonderful Studio in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bedroom,,1
158,"Amazing One-Bedrrom Apartment in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bedroom,,1
159,"Amazing One-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bedroom,,1
160,"One-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bedroom,,1
161,"Spacious Two-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bedroom,,1
163,"Amazing Swimming Pool View Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
165,"Spacious Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
166,"Amazing Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
167,"Fantastic Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
168,"With Lowest Price Studio in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
169,"Wonderful One-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
170,"Wonderful Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
171,"Own Prime Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
172,"Luxury Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
173,"With Lowest Price Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
174,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
175,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
176,"Own Prime Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
177,"Amazing Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
178,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
179,"With Lowest Price Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
180,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
181,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
182,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,28
185,"Luxury Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
207,"Amazing Land For Building in the Derwah, Ashmoun, Menofia Governorate","Missing Parameter",Bedroom,,57
285,"Amazing Land For Building in the Aziza, Ratib - Toukh in front of the Private University","Missing Parameter",Bedroom,,34
292,"Amazing 03-Star Hotel in the Hadaba Om El Sid - Sharm El Sheikh for Sale","Missing Parameter",Bedroom,,59
311,"Amazing Four-Bedroom  Apartment in the Marville  New Zayed- Al Marasem,Giza Governorate","Missing Parameter",Bedroom,,1
313,"Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
314,testing,"Missing Parameter",Bedroom,,3
315,"Luxury 75 Sqm 1-Bedroom Apartment with Terrace in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
316,"Luxury 75 Sqm Penthouse with 48 Sqm Private Roof in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
317,"Luxury 85 Sqm Ground Floor Apartment with Private Garden in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
318,"Spacious 85 Sqm ""American-Style"" 1-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
319,"80 Sqm Top-Floor ""American-Style"" Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
320,"Luxury 2-Bedroom Ground Floor Apartment with Huge 60 Sqm Garden & Pool Access in ONE7 Residence","Missing Parameter",Bedroom,,1
321,"Spacious 118 Sqm 2-Bedroom Apartment with Terrace in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
322,"Luxury 120 Sqm 2-Bedroom Penthouse with Private Roof (36 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
323,"Luxury 166 Sqm 3-Bedroom Penthouse with Private Roof (48 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
324,"Luxury 134 Sqm 3-Bedroom Ground Floor Apartment with Private Pool & Garden in ONE7 Residence","Missing Parameter",Bedroom,,1
325,"Premium 140 Sqm 3-Bedroom Ground Floor Apartment with Private Pool & 72 Sqm Garden in ONE7 Residence","Missing Parameter",Bedroom,,1
326,"Spacious 148 Sqm 3-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
327,"Spacious 160 Sqm 3-Bedroom First Floor Apartment with Large 20 Sqm Terrace in ONE7 Residence","Missing Parameter",Bedroom,,1
328,"Spacious 152 Sqm 3-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
329,"Luxury 150 Sqm 3-Bedroom Penthouse with Private Roof (52 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
330,"Spacious 160 Sqm 3-Bedroom Penthouse with Private Roof (48 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bedroom,,1
331,"test apartment","Missing Parameter",Bedroom,,1
332,"Test 01-19-125","Missing Parameter",Bedroom,,1
335,"Fantastic 02-Bedroom Apartment in Dream Hotel 1","Missing Parameter",Bedroom,,3
336,"Test 03 20 Dec-25 Amazing Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bedroom,,1
337,"test price on request","Missing Parameter",Bedroom,,62
338,"Test 4 20 Dec-25 Amazing 03 Star Hotel in the Hadaba Om El Sid - Sharm El Sheikh for Sales","Missing Parameter",Bedroom,,62
340,"Test 6 20 Dec-2025 Nice Villa for Sale","Missing Parameter",Bedroom,,2
66,"Spacious Semi Furnished 3-Bedroom Apartment for Sale, Intercontinental area, Hurghada","Missing Parameter",Bathroom,,1
79,"Spacious Two-Bedroom Apartment for Sale, Intercontinental area, Hurghada","Missing Parameter",Bathroom,,1
80,"Discover Your Dream One-Bedroom Apartment in Golden House, El Kawther, Hurghada!","Missing Parameter",Bathroom,,1
81,"Live In Two-Bedroom Apartment at Golden House, El Kawther, Hurghada!","Missing Parameter",Bathroom,,1
84,"Amazing Sea View Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
85,"Wonderful Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
86,"Fantastic Hotel Studio in Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
87,"Own Your Hotel Studio at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
88,"Amazing View Hotel Studio at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
89,"Amazing Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
90,"Wonderful Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
91,"Wonderful Sea View Hotel One-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
92,"Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
93,"Fantastic Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
94,"Spacious Sea View Two-Bedroom Apartment at Panorama Hills, El Hadaba Road, Hurghada","Missing Parameter",Bathroom,,1
95,"Amazing One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Missing Parameter",Bathroom,,1
96,"Fantastic One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Missing Parameter",Bathroom,,1
97,"One-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Missing Parameter",Bathroom,,1
99,"Two-Bedroom Apartment at Panorama Magawish, Magawish, Hurghada","Missing Parameter",Bathroom,,1
102,"Prime Commercial Space for Sale in the Intercontinental Area of Hurghada","Missing Parameter",Bathroom,,28
128,"Amazing Studio in 3 Pyramids, El Ahyaa, Hurghada","Missing Parameter",Bathroom,,1
130,"Wonderful One-Bedroom Apartment in 3 Pyramids, El Ahyaa, Hurghada","Missing Parameter",Bathroom,,1
132,"Amazing Two-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Missing Parameter",Bathroom,,1
133,"Three-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Missing Parameter",Bathroom,,1
134,"Spacious Three-Bedroom Apartment in Noor City, El Ahyaa, Hurghada","Missing Parameter",Bathroom,,1
136,"Fantastic One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
137,"One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
138,"Wonderful One-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
139,"Amazing Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
140,"Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
141,"Spacious Two-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
142,"Spacious Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
143,"Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
144,"Fantastic Three-Bedroom Apartment in Grand Gate Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,1
145,"Unique Duplex Apartment in Grand Gate, near Hurghada Airport, Hurghada","Missing Parameter",Bathroom,,41
146,"Fantastic Studio in La Bella Palace, El Kawther, Hurghada!","Missing Parameter",Bathroom,,1
147,"Spacious Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Missing Parameter",Bathroom,,1
148,"Wonderful Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Missing Parameter",Bathroom,,1
149,"Unique Three-Bedroom Apartment at La Bella Resort, Al Mamsha - Hurghada","Missing Parameter",Bathroom,,1
150,"Amazing Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bathroom,,1
151,"Wonderful Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bathroom,,1
152,"Fantastic Sea View Hotel Studio in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bathroom,,1
153,"Amazing Sea View Hotel One-Bedroom Apartment in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bathroom,,1
154,"Unique Sea View Hotel One-Bedroom Apartment in Belkan, Al Ahyaa,Hurghada","Missing Parameter",Bathroom,,1
155,"Amazing Hotel Sea View Studio in Bella Bay Beach Resort, Hurghada","Missing Parameter",Bathroom,,1
156,"Amazing Studio in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bathroom,,1
157,"Wonderful Studio in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bathroom,,1
158,"Amazing One-Bedrrom Apartment in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bathroom,,1
159,"Amazing One-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bathroom,,1
160,"One-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bathroom,,1
161,"Spacious Two-Bedrom Apartment in La Vista Magawish, Magawish,Hurghada","Missing Parameter",Bathroom,,1
163,"Amazing Swimming Pool View Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
165,"Spacious Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
166,"Amazing Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
167,"Fantastic Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
168,"With Lowest Price Studio in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
169,"Wonderful One-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
170,"Wonderful Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
171,"Own Prime Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
172,"Luxury Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
173,"With Lowest Price Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
174,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
175,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
176,"Own Prime Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
177,"Amazing Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
178,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
179,"With Lowest Price Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
180,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
181,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
182,"Wonderful Commercial Shop in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,28
185,"Luxury Three-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
207,"Amazing Land For Building in the Derwah, Ashmoun, Menofia Governorate","Missing Parameter",Bathroom,,57
285,"Amazing Land For Building in the Aziza, Ratib - Toukh in front of the Private University","Missing Parameter",Bathroom,,34
292,"Amazing 03-Star Hotel in the Hadaba Om El Sid - Sharm El Sheikh for Sale","Missing Parameter",Bathroom,,59
311,"Amazing Four-Bedroom  Apartment in the Marville  New Zayed- Al Marasem,Giza Governorate","Missing Parameter",Bathroom,,1
313,"Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
314,testing,"Missing Parameter",Bathroom,,3
315,"Luxury 75 Sqm 1-Bedroom Apartment with Terrace in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
316,"Luxury 75 Sqm Penthouse with 48 Sqm Private Roof in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
317,"Luxury 85 Sqm Ground Floor Apartment with Private Garden in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
318,"Spacious 85 Sqm ""American-Style"" 1-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
319,"80 Sqm Top-Floor ""American-Style"" Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
320,"Luxury 2-Bedroom Ground Floor Apartment with Huge 60 Sqm Garden & Pool Access in ONE7 Residence","Missing Parameter",Bathroom,,1
321,"Spacious 118 Sqm 2-Bedroom Apartment with Terrace in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
322,"Luxury 120 Sqm 2-Bedroom Penthouse with Private Roof (36 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
323,"Luxury 166 Sqm 3-Bedroom Penthouse with Private Roof (48 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
324,"Luxury 134 Sqm 3-Bedroom Ground Floor Apartment with Private Pool & Garden in ONE7 Residence","Missing Parameter",Bathroom,,1
325,"Premium 140 Sqm 3-Bedroom Ground Floor Apartment with Private Pool & 72 Sqm Garden in ONE7 Residence","Missing Parameter",Bathroom,,1
326,"Spacious 148 Sqm 3-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
327,"Spacious 160 Sqm 3-Bedroom First Floor Apartment with Large 20 Sqm Terrace in ONE7 Residence","Missing Parameter",Bathroom,,1
328,"Spacious 152 Sqm 3-Bedroom Apartment in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
329,"Luxury 150 Sqm 3-Bedroom Penthouse with Private Roof (52 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
330,"Spacious 160 Sqm 3-Bedroom Penthouse with Private Roof (48 Sqm) in ONE7 Residence – Installments up to 6 Years","Missing Parameter",Bathroom,,1
331,"test apartment","Missing Parameter",Bathroom,,1
332,"Test 01-19-125","Missing Parameter",Bathroom,,1
335,"Fantastic 02-Bedroom Apartment in Dream Hotel 1","Missing Parameter",Bathroom,,3
336,"Test 03 20 Dec-25 Amazing Two-Bedroom Apartment in the Intercontinental District, Hurghada","Missing Parameter",Bathroom,,1
337,"test price on request","Missing Parameter",Bathroom,,62
338,"Test 4 20 Dec-25 Amazing 03 Star Hotel in the Hadaba Om El Sid - Sharm El Sheikh for Sales","Missing Parameter",Bathroom,,62
340,"Test 6 20 Dec-2025 Nice Villa for Sale","Missing Parameter",Bathroom,,2
